iter	RMSE
0	2.146817318
1	2.027355241
2	1.918026558
3	1.818548395
4	1.72811593
5	1.646203945
6	1.572006745
7	1.505706443
8	1.44531545
9	1.39110953
10	1.342351802
11	1.29884845
12	1.259639623
13	1.224824615
14	1.194259214
15	1.166833827
16	1.142452451
17	1.120788671
18	1.101854232
19	1.084676707
20	1.069603658
21	1.056301132
22	1.044586208
23	1.034102975
24	1.024836142
25	1.016683295
26	1.009764338
27	1.003310512
28	0.9975122672
29	0.9926224161
30	0.9880956137
31	0.9840621782
32	0.9808312658
33	0.9776438771
34	0.9747968582
35	0.972213011
36	0.9699725729
37	0.968010788
38	0.9661883765
39	0.964632962
40	0.962949943
41	0.9615908181
42	0.9602966094
43	0.9592172613
44	0.9581121116
45	0.957116788
46	0.9562651675
47	0.9554815555
48	0.95420104
49	0.9534432011
50	0.9527061884
51	0.9518182628
52	0.9510969287
53	0.950135311
54	0.9494207551
55	0.9480237462
56	0.9475185373
57	0.9469011455
58	0.9464386938
59	0.9460035945
60	0.9448225659
61	0.944430707
62	0.9440500616
63	0.9436753288
64	0.9433332055
65	0.943001165
66	0.9426392893
67	0.9422532428
68	0.9417402584
69	0.9414160506
70	0.9407310594
71	0.9404513212
72	0.9401195561
73	0.9398230342
74	0.939231921
75	0.9389890702
76	0.9384826683
77	0.9381446452
78	0.937796939
79	0.9375585254
80	0.9373071881
81	0.936290668
82	0.936055172
83	0.9356404749
84	0.9351588037
85	0.9349233477
86	0.9346960705
87	0.9344966019
88	0.9336801799
89	0.9334781607
90	0.9332490117
91	0.9330839265
92	0.932939229
93	0.9322888178
94	0.9319119648
95	0.9316923264
96	0.9315402345
97	0.9309665532
98	0.9307937704
99	0.9306541601
100	0.9304888868
101	0.9302649916
102	0.9301042242
103	0.9297857116
104	0.9294876371
105	0.929265136
106	0.9290628657
107	0.9289265946
108	0.9287854492
109	0.9286506648
110	0.9279838734
111	0.927849191
112	0.9275861572
113	0.9274519632
114	0.9269364166
115	0.9264804029
116	0.9263528298
117	0.9262298334
118	0.9261239416
119	0.9259625647
120	0.9258084371
121	0.9255521029
122	0.9254447651
123	0.9253133264
124	0.9251670851
125	0.9247108563
126	0.9246040783
127	0.924365331
128	0.9241518473
129	0.9240215953
130	0.923921372
131	0.9235357292
132	0.9234062681
133	0.9233075143
134	0.9231590895
135	0.9227613799
136	0.9226530586
137	0.9225393981
138	0.9224497227
139	0.92235202
140	0.9222261279
141	0.9220055007
142	0.9216905926
143	0.9215936338
144	0.9214917447
145	0.921386573
146	0.9211339303
147	0.9210470607
148	0.9209506667
149	0.9208628446
150	0.9207471751
151	0.9206422209
152	0.9205524708
153	0.92044832
154	0.9201201335
155	0.9199718827
156	0.9198732283
157	0.9197450417
158	0.9196376872
159	0.9195214779
160	0.9193848394
161	0.9193085225
162	0.9192312347
163	0.9191630343
164	0.9189201996
165	0.9188343611
166	0.9187296295
167	0.9186490672
168	0.9185504362
169	0.918275195
170	0.9182006341
171	0.9180658131
172	0.9179961465
173	0.9178949894
174	0.9178263861
175	0.9177364434
176	0.9176468231
177	0.9175776768
178	0.9174882067
179	0.9172947712
180	0.9171638491
181	0.9170874302
182	0.9167628479
183	0.9166860087
184	0.9166122304
185	0.9165199853
186	0.9163151779
187	0.9162362278
188	0.9161293192
189	0.9160120011
190	0.9159428696
191	0.9158589923
192	0.9156532349
193	0.9155688884
194	0.9154847001
195	0.9152730471
196	0.9151184477
197	0.9150382871
198	0.9149203585
199	0.9148342832
200	0.9147647858
201	0.9146762867
202	0.9146113468
203	0.9145306432
204	0.9144583806
205	0.9143853643
206	0.9142000552
207	0.9141315348
208	0.9140657249
209	0.9140058961
210	0.913930294
211	0.9138600904
212	0.9137864442
213	0.9137171166
214	0.913629819
215	0.9135081872
216	0.9134382007
217	0.9133712871
218	0.9128094682
219	0.9125720483
220	0.9123757105
221	0.9123113287
222	0.9122224804
223	0.9121433982
224	0.9120810828
225	0.9120154305
226	0.9118914446
227	0.9118306675
228	0.9117779149
229	0.9117221866
230	0.9116532855
231	0.9115649011
232	0.911489152
233	0.9114233459
234	0.9113534494
235	0.911289051
236	0.9112202005
237	0.9111573216
238	0.9110667205
239	0.911002552
240	0.9109127698
241	0.9107815421
242	0.9107139883
243	0.910647542
244	0.9105828433
245	0.9105299349
246	0.91005813
247	0.9095655848
248	0.9094512914
249	0.909264921
250	0.909175385
251	0.9091052322
252	0.9090462472
253	0.9088366899
254	0.9087642533
255	0.9087022636
256	0.9086567721
257	0.9085819515
258	0.9085319933
259	0.90847417
260	0.9083094621
261	0.9082646481
262	0.9082049113
263	0.9081544303
264	0.9081059827
265	0.9080492201
266	0.907988967
267	0.9079521158
268	0.9077992831
269	0.9077440918
270	0.9073782881
271	0.9073175996
272	0.9072543106
273	0.9071930554
274	0.907142909
275	0.9070932904
276	0.9070437529
277	0.9069969774
278	0.9068829747
279	0.9068329788
280	0.9067742091
281	0.9067214137
282	0.9066769682
283	0.9066249215
284	0.9065729835
285	0.9065239205
286	0.9064032634
287	0.9063427052
288	0.906284826
289	0.9062152041
290	0.9061648359
291	0.9060247015
292	0.9059514249
293	0.9059022163
294	0.9058368711
295	0.9055663807
296	0.9055232212
297	0.9054730383
298	0.9054233841
299	0.9053461141
300	0.9053087636
301	0.9052646125
302	0.9052236211
303	0.9051782066
304	0.905129152
305	0.9050942832
306	0.9050332736
307	0.9049715882
308	0.9049257972
309	0.9048817673
310	0.9047830073
311	0.9047335393
312	0.9046579742
313	0.9046164513
314	0.9045742545
315	0.9044831621
316	0.904425556
317	0.9043363531
318	0.9042985408
319	0.9042593263
320	0.9042112582
321	0.904168006
322	0.9040484914
323	0.9038653506
324	0.9038250804
325	0.9037846683
326	0.903752214
327	0.9036334292
328	0.903519703
329	0.9034738103
330	0.9034112614
331	0.9033609051
332	0.9033069008
333	0.903254071
334	0.903193498
335	0.9031490752
336	0.9031020138
337	0.9030670107
338	0.9029796372
339	0.9029472381
340	0.9029035045
341	0.9028482945
342	0.9027862915
343	0.9027433638
344	0.9027123592
345	0.9026728232
346	0.902619339
347	0.9025742425
348	0.9025347847
349	0.9024867651
350	0.9024425882
351	0.9023456665
352	0.9022987878
353	0.9022605251
354	0.9022124067
355	0.9021189699
356	0.90207441
357	0.9020256358
358	0.9019825596
359	0.9019430759
360	0.9019066517
361	0.9018652549
362	0.9018217778
363	0.9017757426
364	0.9017382162
365	0.9016461068
366	0.9016069736
367	0.9015680073
368	0.9015063657
369	0.9014584037
370	0.9014231682
371	0.9013849807
372	0.9013518218
373	0.901261584
374	0.9012197641
375	0.900995455
376	0.9009623661
377	0.9009301475
378	0.9008813676
379	0.9008364653
380	0.9007749986
381	0.9007125997
382	0.900678263
383	0.9006041295
384	0.9005571602
385	0.9005159826
386	0.9004820885
387	0.9004255486
388	0.9003862779
389	0.9003437703
390	0.9003054527
391	0.9002584396
392	0.9002152507
393	0.9001749861
394	0.9001323841
395	0.9000885137
