iter	Passed	Remaining
0	24	120670
1	38	95788
2	53	88802
3	67	84290
4	82	82083
5	97	80749
6	112	79914
7	127	79410
8	142	78807
9	157	78712
10	173	78763
11	188	78273
12	202	77867
13	219	78298
14	233	77746
15	302	94099
16	318	93344
17	334	92564
18	349	91575
19	364	90880
20	379	90095
21	394	89182
22	408	88404
23	423	87893
24	438	87238
25	453	86853
26	467	86190
27	482	85695
28	497	85303
29	512	84949
30	527	84599
31	544	84520
32	558	84123
33	574	83913
34	588	83480
35	604	83389
36	618	82946
37	633	82672
38	647	82424
39	662	82115
40	678	82022
41	693	81868
42	711	81968
43	726	81821
44	742	81775
45	757	81614
46	772	81438
47	786	81098
48	800	80884
49	815	80723
50	832	80763
51	848	80756
52	863	80602
53	879	80536
54	895	80497
55	908	80226
56	923	80086
57	938	79992
58	955	79977
59	970	79879
60	984	79719
61	997	79427
62	1011	79293
63	1024	79026
64	1038	78876
65	1053	78768
66	1069	78725
67	1087	78884
68	1101	78707
69	1115	78560
70	1129	78441
71	1142	78197
72	1156	78084
73	1174	78202
74	1188	78040
75	1203	77996
76	1218	77873
77	1232	77774
78	1247	77680
79	1263	77682
80	1277	77597
81	1291	77446
82	1311	77675
83	1327	77696
84	1341	77583
85	1356	77528
86	1372	77498
87	1386	77399
88	1400	77289
89	1415	77216
90	1431	77198
91	1444	77053
92	1458	76934
93	1472	76861
94	1486	76762
95	1501	76709
96	1516	76641
97	1530	76573
98	1546	76565
99	1562	76557
100	1579	76607
101	1595	76611
102	1613	76693
103	1627	76605
104	1640	76484
105	1655	76415
106	1668	76310
107	1684	76292
108	1700	76296
109	1717	76336
110	1730	76221
111	1745	76179
112	1759	76110
113	1776	76145
114	1789	76028
115	1804	75973
116	1820	75995
117	1836	75964
118	1848	75838
119	1864	75818
120	1879	75793
121	1895	75784
122	1909	75700
123	1924	75689
124	1940	75692
125	1999	77328
126	2015	77351
127	2029	77250
128	2044	77202
129	2060	77174
130	2074	77098
131	2089	77075
132	2108	77154
133	2123	77095
134	2138	77067
135	2152	76996
136	2167	76954
137	2183	76945
138	2198	76901
139	2214	76864
140	2230	76858
141	2243	76762
142	2257	76692
143	2272	76633
144	2287	76601
145	2303	76591
146	2318	76535
147	2335	76557
148	2348	76448
149	2363	76418
150	2379	76422
151	2395	76403
152	2409	76318
153	2428	76420
154	2443	76380
155	2459	76356
156	2473	76311
157	2490	76327
158	2507	76344
159	2522	76314
160	2537	76271
161	2552	76213
162	2565	76139
163	2580	76093
164	2594	76037
165	2609	76002
166	2626	76009
167	2641	75987
168	2657	75964
169	2670	75878
170	2686	75866
171	2700	75810
172	2715	75769
173	2730	75729
174	2744	75661
175	2760	75649
176	2775	75622
177	2789	75577
178	2803	75519
179	2817	75439
180	2833	75446
181	2849	75445
182	2863	75377
183	2877	75318
184	2892	75288
185	2907	75239
186	2920	75172
187	2935	75129
188	2951	75124
189	2967	75128
190	2981	75078
191	2996	75047
192	3011	74997
193	3028	75024
194	3043	75000
195	3059	74994
196	3074	74953
197	3090	74964
198	3105	74911
199	3120	74899
200	3134	74846
201	3150	74835
202	3166	74836
203	3181	74806
204	3198	74807
205	3284	76428
206	3328	77060
207	3342	77003
208	3357	76955
209	3372	76927
210	3389	76933
211	3406	76927
212	3420	76878
213	3434	76801
214	3448	76748
215	3463	76701
216	3478	76671
217	3493	76626
218	3506	76546
219	3520	76491
220	3533	76401
221	3549	76390
222	3565	76382
223	3583	76400
224	3598	76375
225	3614	76354
226	3627	76273
227	3642	76240
228	3657	76200
229	3671	76133
230	3687	76132
231	3704	76124
232	3717	76064
233	3735	76084
234	3752	76092
235	3770	76104
236	3785	76084
237	3801	76066
238	3817	76038
239	3832	76018
240	3848	76002
241	3867	76033
242	3884	76039
243	3899	76001
244	3915	75988
245	3929	75943
246	3942	75870
247	3955	75789
248	3969	75743
249	3982	75675
250	3999	75674
251	4014	75635
252	4029	75611
253	4043	75562
254	4060	75563
255	4078	75576
256	4095	75588
257	4110	75553
258	4130	75602
259	4144	75557
260	4156	75475
261	4169	75405
262	4185	75383
263	4200	75347
264	4212	75270
265	4226	75218
266	4242	75197
267	4256	75159
268	4272	75148
269	4286	75087
270	4301	75055
271	4317	75048
272	4332	75022
273	4348	75011
274	4363	74976
275	4378	74942
276	4392	74897
277	4462	75796
278	4475	75722
279	4505	75948
280	4521	75926
281	4535	75882
282	4549	75831
283	4563	75774
284	4579	75758
285	4592	75690
286	4609	75700
287	4626	75700
288	4639	75626
289	4652	75569
290	4668	75539
291	4681	75475
292	4697	75459
293	4711	75423
294	4726	75387
295	4740	75331
296	4754	75282
297	4769	75251
298	4784	75220
299	4797	75164
300	4811	75117
301	4826	75077
302	4841	75043
303	4854	74989
304	4869	74958
305	4882	74895
306	4897	74861
307	4912	74831
308	4928	74816
309	4942	74769
310	4955	74717
311	4970	74687
312	4986	74662
313	4998	74600
314	5012	74553
315	5030	74565
316	5046	74546
317	5061	74528
318	5074	74467
319	5087	74411
320	5103	74385
321	5118	74368
322	5132	74319
323	5147	74284
324	5163	74275
325	5178	74242
326	5194	74237
327	5207	74174
328	5220	74119
329	5237	74120
330	5253	74108
331	5271	74113
332	5286	74086
333	5353	74793
334	5384	74984
335	5400	74963
336	5416	74944
337	5431	74917
338	5443	74849
339	5457	74794
340	5470	74738
341	5484	74703
342	5499	74670
343	5513	74622
344	5527	74582
345	5543	74564
346	5558	74531
347	5572	74492
348	5586	74447
349	5601	74422
350	5616	74395
351	5630	74348
352	5645	74322
353	5660	74288
354	5675	74266
355	5689	74223
356	5706	74213
357	5719	74160
358	5734	74137
359	5748	74087
360	5762	74045
361	5775	73994
362	5788	73941
363	5803	73920
364	5817	73875
365	5831	73839
366	5845	73798
367	5861	73775
368	5873	73711
369	5887	73669
370	5901	73631
371	5915	73595
372	5929	73559
373	5947	73563
374	5962	73538
375	5976	73494
376	5990	73464
377	6004	73422
378	6018	73382
379	6031	73333
380	6047	73310
381	6061	73280
382	6075	73236
383	6089	73205
384	6106	73203
385	6121	73169
386	6135	73139
387	6152	73135
388	6169	73128
389	6184	73101
390	6198	73062
391	6254	73522
392	6276	73571
393	6304	73706
394	6322	73709
395	6346	73782
396	6361	73753
397	6374	73703
398	6389	73677
399	6404	73648
400	6418	73609
401	6433	73579
402	6448	73560
403	6463	73528
404	6481	73531
405	6496	73511
406	6509	73463
407	6528	73473
408	6541	73428
409	6557	73407
410	6571	73372
411	6588	73364
412	6602	73333
413	6617	73302
414	6632	73277
415	6645	73229
416	6662	73218
417	6676	73182
418	6691	73158
419	6706	73129
420	6722	73118
421	6738	73097
422	6751	73053
423	6764	73005
424	6779	72980
425	6864	73702
426	6880	73692
427	6897	73678
428	6911	73647
429	6928	73636
430	6946	73638
431	6962	73624
432	6981	73634
433	7008	73730
434	7047	73962
435	7073	74049
436	7088	74015
437	7107	74028
438	7124	74018
439	7140	74002
440	7156	73982
441	7172	73961
442	7190	73969
443	7207	73958
444	7232	74028
445	7252	74049
446	7267	74020
447	7282	73993
448	7299	73984
449	7315	73972
450	7331	73947
451	7344	73899
452	7365	73932
453	7394	74043
454	7411	74035
455	7441	74150
456	7458	74143
457	7486	74247
458	7502	74227
459	7521	74236
460	7540	74243
461	7555	74216
462	7572	74205
463	7587	74176
464	7603	74153
465	7621	74149
466	7641	74175
467	7666	74242
468	7690	74298
469	7709	74308
470	7728	74311
471	7761	74460
472	7826	74910
473	7842	74887
474	7858	74863
475	7877	74873
476	7894	74861
477	7910	74836
478	7926	74814
479	7941	74786
480	7959	74779
481	7974	74751
482	7988	74707
483	8010	74743
484	8025	74711
485	8049	74765
486	8067	74763
487	8083	74737
488	8106	74786
489	8125	74790
490	8139	74747
491	8155	74722
492	8170	74697
493	8190	74712
494	8210	74727
495	8226	74699
496	8249	74747
497	8273	74796
498	8296	74835
499	8314	74833
500	8336	74862
501	8376	75056
502	8465	75683
503	8483	75678
504	8497	75636
505	8512	75601
506	8529	75589
507	8542	75539
